Scope of Work,Manday,Total,Remark,
Assessment Phase,,,,
- Analyze LINE Shopping API documentation and data structure.,1,,,
"- Design Database Schema (Orders, Customers, Media Links, Status).",1,,,
- Design User Flow for Admin (Approval) and Field Staff (Upload).,1,,,
,,,,
Backend & API Integration (Ingestion),,,,
"- Develop cron job/script to pull ""Daily Paid Orders"" from LINE Shop API.",2,,,
"- Store order details (order No, Customer LINE ID, Package Type) in the database.",1,,,
- Error handling for API rate limits and data sync issues.,2,,,
,,,,
Web App Development (Staff & Admin Portal),,,,
"- Implement Authentication System (Login/Logout, Session Management).",2,,,
"- Staff View: Create mobile-responsive page to view ""Pending"" orders.",3,,,
"- Admin View: Dashboard to review uploaded clips and click ""Approve"".",3,,,
"- Upload Module: Integrate QR Scanner/Camera access to record/upload video proof directly to cloud storage (e.g., AWS S3/Google Drive).",2,,May include for Google Drive storage costs for the client to look after,
- Implement frontend video compression and resumable upload handling (to prevent timeouts). Might need to use S3 Bucket compatible with IOS,1,,,
,,,,
Automation & Notification ,,,P'Aor provides LINE Official Account (OA) with API rights,
"- Integrate LINE Messaging API (Push Message).
- Logic: Trigger message sending automatically when Admin status = ""Approved"".
- Send Merit Certificate (Image) and Video Link to the specific customer.",2,,,
,,,,
Testing & Deployment,,,,
- UAT: Test full flow (Buy -> Sync -> Upload -> Approve -> Receive).,2,,,
- Deploy to production server/cloud environment.,1,,,
- Handover documentation (User Manual for Admin/Staff,,,,
,,,,
Post-Deployment & Maintenance,," 	5,000 ",charge 5000 baht once just for the maintenance.,
- Storage Management: Implement script to archive or delete videos older than 30/60 days to reduce cloud costs.,,,,
"- API Token Management: Monitor and rotate LINE API Access Tokens (Long-lived tokens often need refreshing), maybe once every 2 months",,,,
,,,,
Knowledge Transfer & Documentation,,,,
Deliver how to use and configuration detail,,,,
Handover documentation,,,,
,,,,
,24," 	42,000 ",,
,," 	47,000 ",,
