Scope of Work,Manday,Total,Remark,,,,,,
Assessment Phase (ขั้นตอนประเมิน/วิเคราะห์),,,,,,,,,
วิเคราะห์เอกสารและโครงสร้างข้อมูลของ LINE Shopping API,1,,,,,,,,
"ออกแบบโครงสร้างฐานข้อมูล (Orders, Customers, Media Links, Status)",1,,,,,,,,
ออกแบบ User Flow สำหรับ Admin (อนุมัติ) และพนักงานหน้าร้าน (อัปโหลด),1,,,,,,,,
,,,,,,,,,
Backend & API Integration (Ingestion) (พัฒนา Backend และเชื่อมต่อ API เพื่อดึงข้อมูลเข้า),,,,,,,,,
พัฒนา cron job/สคริปต์เพื่อดึงข้อมูล “Daily Paid Orders” จาก LINE Shop API,2,,,,,,,,
"บันทึกรายละเอียดออเดอร์ (เลขคำสั่งซื้อ, Customer LINE ID, ประเภทแพ็กเกจ) ลงฐานข้อมูล",1,,,,,,,,
จัดการ Error กรณีติด rate limit ของ API และปัญหาซิงก์ข้อมูลไม่ครบ/ไม่ตรงกัน,2,,,,,,,,
,,,,,,,,,
Web App Development (Staff & Admin Portal) (พัฒนาเว็บแอปสำหรับ Staff และ Admin),,,,,,,,,
"พัฒนาระบบยืนยันตัวตน (Login/Logout, การจัดการ Session)",2,,,,,,,,
หน้าสำหรับ Staff: สร้างหน้าแบบรองรับมือถือเพื่อดูออเดอร์สถานะ “Pending”,3,,,,,,,,
หน้าสำหรับ Admin: Dashboard สำหรับตรวจคลิปที่อัปโหลดและกด “Approve”,3,,,,,,,,
โมดูลอัปโหลด: เชื่อม QR Scanner/การเข้าถึงกล้องเพื่อบันทึก/อัปโหลดวิดีโอหลักฐานขึ้น Cloud Storage (เช่น AWS S3/Google Drive) โดยตรง,2,,หมายเหตุ: กรณีเลือกจัดเก็บบน Google Drive ค่าใช้จ่ายพื้นที่จัดเก็บเป็นความรับผิดชอบของลูกค้า (อยู่ภายใต้บัญชี/แพ็กเกจของลูกค้า),,,,,,
ทำระบบบีบอัดวิดีโอฝั่งหน้าเว็บ และรองรับการอัปโหลดแบบ resumable (ป้องกัน timeout) อาจต้องใช้ S3 Bucket ที่รองรับ/เข้ากันได้กับ iOS,1,,,,,,,,
,,,,,,,,,
Automation & Notification (อัตโนมัติและการแจ้งเตือน),,,พี่อ้อเป็นผู้จัดเตรียม LINE Official Account (LINE OA) พร้อมสิทธิ์การใช้งาน API,,,,,,
เชื่อม LINE Messaging API (Push Message),2,,,,,,,,
เงื่อนไข: ส่งข้อความอัตโนมัติเมื่อสถานะของ Admin = “Approved”,,,,,,,,,
ส่งใบประกาศ (รูปภาพ) และลิงก์วิดีโอให้ลูกค้าแต่ละรายตาม LINE ID ที่เกี่ยวข้อง,,,,,,,,,
,2,,,,,,,,
Testing & Deployment (ทดสอบและนำขึ้นระบบจริง),1,,,,,,,,
UAT: ทดสอบการทำงานครบทั้ง Flow (ซื้อ -> ซิงก์ -> อัปโหลด -> อนุมัติ -> ได้รับแจ้ง/รับของ),,,,,,,,,
Deploy ขึ้น Production Server/Cloud Environment,,,,,,,,,
ส่งมอบเอกสาร (คู่มือการใช้งานสำหรับ Admin/Staff),,,,,,,,,
,,,,,,,,,
, 	24 ," 	42,000 ",,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Post-Deployment & Maintenance (หลังขึ้นระบบและบำรุงรักษา),," 	5,000 ","เรียกเก็บค่าใช้จ่าย 5,000 บาท เพียงครั้งเดียว สำหรับค่าบำรุงรักษา (Maintenance)",,,,,,
การบริหารจัดการ Storage: ทำสคริปต์ย้ายเก็บ (archive) หรือ ลบวิดีโอที่เกิน 30/60 วัน เพื่อลดค่าใช้จ่าย Cloud,,,,,,,,,
การจัดการ Token ของ API: เฝ้าระวังและหมุนเวียน/รีเฟรช LINE API Access Tokens (โทเคนแบบอายุยาวมักต้องรีเฟรช) อาจทำทุก ~2 เดือน,,,,,,,,,
,,,,,,,,,
Grand total,," 	47,000 ",,,,,,,
